,Nazwa,"drogi dla rowerów ogółem,2011,[km]","drogi dla rowerów ogółem,2012,[km]","drogi dla rowerów ogółem,2013,[km]","drogi dla rowerów ogółem,2014,[km]","drogi dla rowerów ogółem,2015,[km]","drogi dla rowerów ogółem,2016,[km]","drogi dla rowerów ogółem,2017,[km]","drogi dla rowerów ogółem,2018,[km]","drogi dla rowerów ogółem,2019,[km]","drogi dla rowerów ogółem,2020,[km]","drogi dla rowerów ogółem,2021,[km]","drogi dla rowerów ogółem,2022,[km]"
,POLSKA,5782.8,6955.3,7726,9347.5,10797.2,11258.4,12138.2,13904.7,15538.7,17254.6,18509.9,19813.5
,DOLNOŚLĄSKIE,509.1,588.7,607.2,779.6,805.9,694,751.7,894.8,1012.4,1119.2,1082.5,1230.4
,KUJAWSKO-POMORSKIE,453.6,499.2,573.8,771.3,904.2,933.1,956.3,1052.1,1123.9,1218.9,1381.9,1471
,LUBELSKIE,252.3,285.2,350.7,425.4,563.3,636.1,682.8,762,912.5,1031,1099.3,1159.4
,LUBUSKIE,260.9,369.3,406.6,463.7,523.9,521.2,576.7,599.1,643.3,713.6,744.2,759.3
,ŁÓDZKIE,287.4,375,471.9,543.8,591.8,639.5,728.5,769.2,868.5,945.9,1044.6,1138.5
,MAŁOPOLSKIE,193.3,249.2,279.8,319.8,370.6,409.3,496,541.8,636.7,772.1,837.2,910.3
,MAZOWIECKIE,755.8,875.4,912.6,1108.3,1279.1,1408.4,1561.1,1995.6,2342.1,2565.8,2709.8,2830.8
,OPOLSKIE,251.5,296,251.4,282.2,306.3,310.2,330.5,418.2,511,556.8,582.3,641.5
,PODKARPACKIE,186.5,319.2,281.1,369.3,577.2,533.1,591.1,615.9,644.6,675.5,719.3,745.9
,PODLASKIE,179.9,225.2,224.8,326.9,453.8,465.1,517.4,576.8,629.7,731.9,786.9,826.5
,POMORSKIE,494.7,602.7,790.5,987.3,1050.5,1103.7,1161.9,1243.2,1347.6,1479.3,1549.9,1632.1
,ŚLĄSKIE,560,624.7,598,648.7,725.3,783.7,824.1,933.7,1047.6,1194.9,1368.9,1385.2
,ŚWIĘTOKRZYSKIE,97.5,105.6,137.6,161.8,216.2,230.2,239.7,276.1,324,392.8,418.8,447.6
,WARMIŃSKO-MAZURSKIE,212.3,251,272.6,379,481.8,508,500.9,553.9,634.2,677.4,743.6,802.4
,WIELKOPOLSKIE,694.3,819.5,1031.8,1160.2,1268.9,1350,1464.2,1824.4,1963.8,2163.2,2338.7,2589
,ZACHODNIOPOMORSKIE,393.7,469.4,535.6,620.2,678.4,732.8,755.3,847.9,896.8,1016.3,1102,1243.6
